pair_key,ai_filename,human_filename,ai_prob,human_prob,pair_separation
ai_afrobeat_05_02.wav,ai_afrobeat_05_02.wav,Opalite Swift,0.775,0.32,0.455
ai_afrobeat_02_02.wav,ai_afrobeat_02_02.wav,Denim,0.765,0.12,0.645
ai_afrobeat_05_01.wav,ai_afrobeat_05_01.wav,KOLUMBO,0.63,0.185,0.445
ai_afrobeat_07_02.wav,ai_afrobeat_07_02.wav,Midnight - Instrumental Version,0.63,0.745,-0.11499999999999999
ai_afrobeat_08_02.wav,ai_afrobeat_08_02.wav,Should We?,0.84,0.4,0.43999999999999995
ai_afrobeat_03_01.wav,ai_afrobeat_03_01.wav,Bee,0.42,0.125,0.295
ai_afrobeat_03_02.wav,ai_afrobeat_03_02.wav,Billing - Instrumental Version,0.705,0.2,0.5049999999999999
ai_afrobeat_10_01.wav,ai_afrobeat_10_01.wav,Ride On,0.62,0.44,0.18
ai_afrobeat_06_02.wav,ai_afrobeat_06_02.wav,Satisfy,0.855,0.27,0.585
ai_afrobeat_04_02.wav,ai_afrobeat_04_02.wav,Allow,0.755,0.205,0.55
ai_afrobeat_04_01.wav,ai_afrobeat_04_01.wav,Ding Ding,0.835,0.265,0.57
ai_afrobeat_06_01.wav,ai_afrobeat_06_01.wav,Solitude,0.9,0.155,0.745
ai_afrobeat_08_01.wav,ai_afrobeat_08_01.wav,STAR,0.785,0.295,0.49000000000000005
ai_afrobeat_01_01.wav,ai_afrobeat_01_01.wav,Drama,0.89,0.23,0.66
ai_afrobeat_09_02.wav,ai_afrobeat_09_02.wav,Comforter,0.97,0.185,0.7849999999999999
ai_afrobeat_07_01.wav,ai_afrobeat_07_01.wav,Oh Lord,0.72,0.22,0.5
ai_afrobeat_10_02.wav,ai_afrobeat_10_02.wav,All on You,0.925,0.085,0.8400000000000001
ai_afrobeat_02_01.wav,ai_afrobeat_02_01.wav,Pompo,0.72,0.45,0.26999999999999996
ai_afrobeat_01_02.wav,ai_afrobeat_01_02.wav,Elizabeth Taylor,0.61,0.45,0.15999999999999998
ai_afrobeat_09_01.wav,ai_afrobeat_09_01.wav,Pain,0.905,0.305,0.6000000000000001
